{'name': 'Spaceball', 'mass': 90.0, 'shape': 'sphere', 'area': 0.7854, 'radius': 0.5, 'length': 1.0, 'cd': 2.0, 'diffReflect': 0.0, 'diffDegrade': 1.0, 'albedofile': '~/Documents/Python/Spaceball/data/CERES_SYN1deg-Day_Terra-Aqua-MODIS_Ed4.1_Subset_20210314_SWreflect.csv', 'use_albedofile': False, 'iralbedofile': '~/Documents/Python/Spaceball/data/CERES_SYN1deg-Day_Terra-Aqua-MODIS_Ed4.1_Subset_20210326_SWreflect.csv', 'use_iralbedofile': False, 'use_albedofolder': False, 'albedofolder': '/home/monte/Documents/Python/Spaceball/data/hourly/sw/', 'use_iralbedofolder': False, 'iralbedofolder': '/home/monte/Documents/Python/Spaceball/data/hourly/lw/', 'use_anisofiles': False, 'swmeanfile': '/home/monte/Documents/Python/Spaceball/data/SW_flux_SYN_daily_mean_20210321.csv', 'cloudfracfile': '/home/monte/Documents/Python/Spaceball/data/Cloud_fraction_SYN_daily_mean_20210321.csv', 'surftypefile': '/home/monte/Documents/Python/Spaceball/data/Surface_type.csv', 'mstinstalldir': '/home/llbu9955/Space-Balls-MST/sbfinal-master/', 'dirmode': 'nadir', 'attmode': 'sun', 'dirinputs': [[0.0, 0.0, 1.0], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0]], 'framename': 'Rotating', 'spinrate': 0}
{'gravforce': True, 'srpforce': True, 'albedoforce': True, 'albedothermalforce': False, 'albedoonlyforce': False, 'aeroforce': True, 'covalbedoforce': False, 'comboforce': True, 'myforce': False, 'lowthrustforce': False, 'sat1_propagate': True, 'output_sample_time': 60, 'startepoch': 01-JAN-2018 00:00:00.0000 UTC, 'endepoch': 01-JAN-2018 03:59:59.0000 UTC}
{'a': 7178.14, 'e': 0, 'i': 60.0, 'o': 90.0, 'u': 0.0, 'theta': 90.0}
Printing Aerodynamic acceleration every 60 secs (m/s**2):
    Epoch   01-JAN-2018 00:00:00.0000 UTC 
Secs_from_Epoch, Long, Lat, Ar, Ai, Ac, AMAG

  0.00, 79.69728, 59.89974, 0.000000000000000, -0.000000001923723, -0.000000000000000, 0.000000001923723
 60.00, 86.53547, 59.70852, -0.000000000000204, -0.000000001965873, 0.000000000007712, 0.000000001965888
120.00, 93.21527, 59.14198, -0.000000000000415, -0.000000002006572, 0.000000000015714, 0.000000002006634
180.00, 99.60070, 58.22035, -0.000000000000630, -0.000000002045818, 0.000000000023955, 0.000000002045958
240.00, 105.59331, 56.97364, -0.000000000000847, -0.000000002083608, 0.000000000032383, 0.000000002083860
300.00, 111.13665, 55.43737, -0.000000000001063, -0.000000002120121, 0.000000000040949, 0.000000002120517
360.00, 116.21190, 53.64872, -0.000000000001276, -0.000000002155640, 0.000000000049606, 0.000000002156211
420.00, 120.82868, 51.64352, -0.000000000001485, -0.000000002190514, 0.000000000058313, 0.000000002191291
480.00, 125.01501, 49.45452, -0.000000000001686, -0.000000002225024, 0.000000000067032, 0.000000002226034
540.00, 128.80891, 47.11056, -0.000000000001879, -0.000000002259550, 0.000000000075730, 0.000000002260819
600.00, 132.25221, 44.63641, -0.000000000002062, -0.000000002294193, 0.000000000084368, 0.000000002295745
660.00, 135.38663, 42.05306, -0.000000000002233, -0.000000002328932, 0.000000000092905, 0.000000002330785
720.00, 138.25155, 39.37814, -0.000000000002390, -0.000000002363523, 0.000000000101287, 0.000000002365694
780.00, 140.88291, 36.62639, -0.000000000002531, -0.000000002397418, 0.000000000109445, 0.000000002399916
840.00, 143.31291, 33.81015, -0.000000000002655, -0.000000002429964, 0.000000000117299, 0.000000002432795
900.00, 145.57005, 30.93975, -0.000000000002758, -0.000000002460087, 0.000000000124740, 0.000000002463249
960.00, 147.67944, 28.02393, -0.000000000002839, -0.000000002486554, 0.000000000131645, 0.000000002490038
1020.00, 149.66318, 25.07011, -0.000000000002896, -0.000000002508034, 0.000000000137881, 0.000000002511823
1080.00, 151.54077, 22.08462, -0.000000000002926, -0.000000002523235, 0.000000000143309, 0.000000002527303
