{'name': 'Spaceball', 'mass': 90.0, 'shape': 'sphere', 'area': 0.7854, 'radius': 0.5, 'length': 1.0, 'cd': 2.0, 'diffReflect': 0.0, 'diffDegrade': 1.0, 'albedofile': '~/Documents/Python/Spaceball/data/CERES_SYN1deg-Day_Terra-Aqua-MODIS_Ed4.1_Subset_20210314_SWreflect.csv', 'use_albedofile': False, 'iralbedofile': '~/Documents/Python/Spaceball/data/CERES_SYN1deg-Day_Terra-Aqua-MODIS_Ed4.1_Subset_20210326_SWreflect.csv', 'use_iralbedofile': False, 'use_albedofolder': False, 'albedofolder': '/home/monte/Documents/Python/Spaceball/data/hourly/sw/', 'use_iralbedofolder': False, 'iralbedofolder': '/home/monte/Documents/Python/Spaceball/data/hourly/lw/', 'use_anisofiles': False, 'swmeanfile': '/home/monte/Documents/Python/Spaceball/data/SW_flux_SYN_daily_mean_20210321.csv', 'cloudfracfile': '/home/monte/Documents/Python/Spaceball/data/Cloud_fraction_SYN_daily_mean_20210321.csv', 'surftypefile': '/home/monte/Documents/Python/Spaceball/data/Surface_type.csv', 'mstinstalldir': '/home/llbu9955/Space-Balls-MST/sbfinal-master/', 'dirmode': 'nadir', 'attmode': 'sun', 'dirinputs': [[0.0, 0.0, 1.0], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0]], 'framename': 'Rotating', 'spinrate': 0}
{'gravforce': True, 'srpforce': True, 'albedoforce': True, 'albedothermalforce': False, 'albedoonlyforce': False, 'aeroforce': True, 'covalbedoforce': False, 'comboforce': True, 'myforce': False, 'lowthrustforce': False, 'sat1_propagate': True, 'output_sample_time': 60, 'startepoch': 01-JAN-2018 00:00:00.0000 UTC, 'endepoch': 01-JAN-2018 03:59:59.0000 UTC}
{'a': 7178.14, 'e': 0, 'i': 60.0, 'o': 90.0, 'u': 0.0, 'theta': 90.0}
Printing Geodetic Height and Long/Lat every 60 secs (m/s**2):
    Epoch   01-JAN-2018 00:00:00.0000 UTC 
Secs_from_Epoch, Height, Long, Lat, MLTAN

 0.000, 816.026, 79.69728, 59.89974, 23.308
60.000, 815.987, 86.53547, 59.70852, 23.290
120.000, 815.869, 93.21527, 59.14198, 23.273
180.000, 815.675, 99.60070, 58.22035, 23.256
240.000, 815.409, 105.59331, 56.97364, 23.240
300.000, 815.076, 111.13665, 55.43737, 23.226
360.000, 814.682, 116.21190, 53.64872, 23.212
420.000, 814.235, 120.82868, 51.64352, 23.200
480.000, 813.744, 125.01501, 49.45452, 23.190
540.000, 813.219, 128.80891, 47.11056, 23.181
600.000, 812.670, 132.25221, 44.63641, 23.175
660.000, 812.108, 135.38663, 42.05306, 23.170
720.000, 811.546, 138.25155, 39.37814, 23.168
780.000, 810.995, 140.88291, 36.62639, 23.168
840.000, 810.467, 143.31291, 33.81015, 23.170
900.000, 809.974, 145.57005, 30.93975, 23.174
960.000, 809.529, 147.67944, 28.02393, 23.180
1020.000, 809.141, 149.66318, 25.07011, 23.188
1080.000, 808.821, 151.54077, 22.08462, 23.198
1140.000, 808.579, 153.32950, 19.07295, 23.209
1200.000, 808.424, 155.04485, 16.03991, 23.222
1260.000, 808.361, 156.70078, 12.98977, 23.236
1320.000, 808.397, 158.31006, 9.92636, 23.251
1380.000, 808.537, 159.88453, 6.85320, 23.267
1440.000, 808.783, 161.43534, 3.77357, 23.283
1500.000, 809.136, 162.97317, 0.69059, 23.299
1560.000, 809.595, 164.50847, -2.39270, 23.316
1620.000, 810.159, 166.05162, -5.47327, 23.332
1680.000, 810.823, 167.61314, -8.54807, 23.349
1740.000, 811.583, 169.20391, -11.61390, 23.364
1800.000, 812.431, 170.83540, -14.66740, 23.378
1860.000, 813.358, 172.51987, -17.70490, 23.392
1920.000, 814.356, 174.27061, -20.72240, 23.404
1980.000, 815.413, 176.10229, -23.71540, 23.414
2040.000, 816.516, 178.03119, -26.67881, 23.423
2100.000, 817.655, -179.92440, -29.60676, 23.430
2160.000, 818.814, -177.74379, -32.49245, 23.435
2220.000, 819.981, -175.40355, -35.32791, 23.438
2280.000, 821.140, -172.87705, -38.10371, 23.439
2340.000, 822.278, -170.13416, -40.80863, 23.438
2400.000, 823.380, -167.14104, -43.42930, 23.434
2460.000, 824.434, -163.86027, -45.94973, 23.429
2520.000, 825.424, -160.25150, -48.35084, 23.421
2580.000, 826.340, -156.27308, -50.61001, 23.412
2640.000, 827.168, -151.88500, -52.70071, 23.401
2700.000, 827.900, -147.05391, -54.59244, 23.388
2760.000, 828.524, -141.76026, -56.25116, 23.374
2820.000, 829.034, -136.00762, -57.64054, 23.358
2880.000, 829.423, -129.83245, -58.72426, 23.342
2940.000, 829.685, -123.31128, -59.46948, 23.325
3000.000, 829.817, -116.56109, -59.85087, 23.307
3060.000, 829.818, -109.72963, -59.85453, 23.289
3120.000, 829.687, -102.97640, -59.48032, 23.272
3180.000, 829.427, -96.44958, -58.74190, 23.255
3240.000, 829.040, -90.26688, -57.66439, 23.238
3300.000, 828.531, -84.50562, -56.28056, 23.223
3360.000, 827.907, -79.20298, -54.62667, 23.209
3420.000, 827.176, -74.36308, -52.73908, 23.196
3480.000, 826.347, -69.96674, -50.65190, 23.185
3540.000, 825.431, -65.98077, -48.39569, 23.175
3600.000, 824.439, -62.36526, -45.99708, 23.168
3660.000, 823.384, -59.07854, -43.47874, 23.162
3720.000, 822.280, -56.08023, -40.85982, 23.159
3780.000, 821.140, -53.33283, -38.15637, 23.157
3840.000, 819.978, -50.80245, -35.38181, 23.158
3900.000, 818.809, -48.45887, -32.54739, 23.161
3960.000, 817.647, -46.27540, -29.66257, 23.166
4020.000, 816.506, -44.22856, -26.73535, 23.173
4080.000, 815.400, -42.29760, -23.77256, 23.182
4140.000, 814.341, -40.46421, -20.78007, 23.192
4200.000, 813.342, -38.71204, -17.76299, 23.204
4260.000, 812.413, -37.02642, -14.72582, 23.218
4320.000, 811.564, -35.39403, -11.67260, 23.232
4380.000, 810.803, -33.80257, -8.60696, 23.247
