Time, Long, Lat, Ar, Ai, Ac, AMAG
,,,,,,
0,47.73429,0.1293,3.32553E-09,-2.63534E-10,-4.98296E-10,3.37297E-09
60,46.84419,3.52187,3.50546E-09,-3.30127E-10,-5.72482E-10,3.56721E-09
120,45.94942,6.91389,3.68722E-09,-3.75264E-10,-6.05655E-10,3.75542E-09
180,45.04536,10.30484,3.86649E-09,-4.36815E-10,-5.78613E-10,3.93387E-09
240,44.1271,13.69416,4.07667E-09,-5.18608E-10,-5.03403E-10,4.14024E-09
300,43.18936,17.08125,4.33365E-09,-5.76002E-10,-4.03509E-10,4.39035E-09
360,42.22624,20.46546,4.58858E-09,-5.78075E-10,-3.1389E-10,4.63549E-09
420,41.23107,23.84606,4.81632E-09,-5.60731E-10,-2.39705E-10,4.85477E-09
480,40.19612,27.22224,5.02176E-09,-5.38035E-10,-1.63042E-10,5.05313E-09
540,39.11226,30.59303,5.22227E-09,-5.10566E-10,-6.6976E-11,5.2476E-09
600,37.96849,33.95731,5.42583E-09,-4.86288E-10,5.47E-11,5.44786E-09
660,36.75138,37.31371,5.65566E-09,-4.04033E-10,1.66364E-10,5.67251E-09
720,35.4442,40.66055,5.83173E-09,-1.78604E-10,2.38416E-10,5.83933E-09
780,34.02576,43.99571,5.82221E-09,1.25508E-10,2.75276E-10,5.83006E-09
840,32.46873,47.31646,5.65487E-09,3.67895E-10,3.01813E-10,5.67486E-09
900,30.73722,50.61922,5.4503E-09,5.29193E-10,3.21019E-10,5.48533E-09
960,28.78311,53.89919,5.23011E-09,6.86402E-10,3.26483E-10,5.28506E-09
1020,26.54051,57.14972,4.93151E-09,8.62622E-10,3.25678E-10,5.01697E-09
1080,23.91711,60.36137,4.55171E-09,1.00489E-09,3.0859E-10,4.67152E-09
1140,20.78042,63.52033,4.13392E-09,1.09761E-09,2.62702E-10,4.28521E-09
1200,16.93569,66.60565,3.67861E-09,1.15446E-09,2.04153E-10,3.86091E-09
1260,12.09075,69.58448,3.19416E-09,1.19914E-09,1.55101E-10,3.41536E-09
1320,5.8036,72.40331,2.70591E-09,1.23557E-09,1.1692E-10,2.97695E-09
1380,-2.57743,74.9727,2.21623E-09,1.22781E-09,8.6747E-11,2.53509E-09
1440,-13.90162,77.14326,1.73531E-09,1.15795E-09,6.2866E-11,2.08713E-09
1500,-28.8487,78.68436,1.28499E-09,1.03048E-09,4.2602E-11,1.6477E-09
1560,-46.82851,79.32129,8.99518E-10,8.60496E-10,2.238E-11,1.24503E-09
1620,-65.14973,78.89866,5.93164E-10,6.57702E-10,9.414E-12,8.85722E-10
1680,-80.82493,77.52487,3.68473E-10,4.58034E-10,2.202E-12,5.87854E-10
1740,-92.847,75.46826,2.16468E-10,2.93511E-10,-3E-13,3.64702E-10
1800,-101.75078,72.97538,1.16948E-10,1.69532E-10,-1.42E-12,2.05961E-10
1860,-108.40079,70.2112,5.5382E-11,8.4376E-11,-1.315E-12,1.00937E-10
1920,-113.49513,67.27516,2.1439E-11,3.3897E-11,-8.06E-13,4.0116E-11
1980,-117.51379,64.22651,5.506E-12,8.951E-12,-2.28E-13,1.0511E-11
2040,-120.77442,61.10138,5.34E-13,8.85E-13,-9E-15,1.034E-12
2100,-123.48813,57.92259,0,0,0,0
2160,-125.79787,54.70502,0,0,0,0
2220,-127.80274,51.45877,0,0,0,0
2280,-129.57313,48.19086,0,0,0,0
2340,-131.16022,44.90629,0,0,0,0
2400,-132.602,41.60874,0,0,0,0
2460,-133.92731,38.30096,0,0,0,0
2520,-135.15837,34.98503,0,0,0,0
2580,-136.3127,31.66259,0,0,0,0
2640,-137.40429,28.33489,0,0,0,0
2700,-138.44453,25.00296,0,0,0,0
2760,-139.44285,21.66763,0,0,0,0
2820,-140.40718,18.32957,0,0,0,0
2880,-141.34433,14.98937,0,0,0,0
2940,-142.26026,11.64751,0,0,0,0
3000,-143.1603,8.30441,0,0,0,0
3060,-144.04931,4.96047,0,0,0,0
3120,-144.93186,1.61602,0,0,0,0
3180,-145.81231,-1.72858,0,0,0,0
3240,-146.695,-5.073,0,0,0,0
3300,-147.58431,-8.41692,0,0,0,0
3360,-148.48481,-11.75997,0,0,0,0
3420,-149.40138,-15.10178,0,0,0,0
3480,-150.33936,-18.4419,0,0,0,0
3540,-151.30473,-21.77986,0,0,0,0
3600,-152.30434,-25.11507,0,0,0,0
3660,-153.34616,-28.44685,0,0,0,0
3720,-154.43969,-31.77436,0,0,0,0
3780,-155.59638,-35.09658,0,0,0,0
3840,-156.83033,-38.41222,0,0,0,0
3900,-158.15919,-41.71965,0,0,0,0
3960,-159.60539,-45.01677,0,0,0,0
4020,-161.198,-48.30079,0,0,0,0
4080,-162.9754,-51.56802,0,0,0,0
4140,-164.98929,-54.81337,0,0,0,0
4200,-167.31084,-58.02975,0,0,0,0
4260,-170.04035,-61.20695,4.03E-13,-6.67E-13,-4.6E-14,7.81E-13
4320,-173.32258,-64.32985,5.545E-12,-9.037E-12,-2.21E-13,1.0605E-11
4380,-177.37148,-67.37531,2.0349E-11,-3.2651E-11,1.625E-12,3.8507E-11
4440,177.49086,-70.30662,4.9303E-11,-7.7471E-11,1.1034E-11,9.249E-11
4500,170.77799,-73.06351,9.7638E-11,-1.48678E-10,3.5864E-11,1.81452E-10
4560,161.7843,-75.54477,1.88273E-10,-2.71574E-10,6.9085E-11,3.37597E-10
4620,149.64456,-77.58285,3.39791E-10,-4.54074E-10,1.07283E-10,5.77192E-10
4680,133.85314,-78.92879,5.76891E-10,-6.9518E-10,1.47653E-10,9.15358E-10
4740,115.48934,-79.31629,9.14221E-10,-9.60972E-10,1.89362E-10,1.33982E-09
4800,97.57891,-78.64547,1.35662E-09,-1.2048E-09,2.22062E-10,1.82791E-09
4860,82.75504,-77.079,1.88395E-09,-1.38269E-09,2.31558E-10,2.34835E-09
4920,71.54328,-74.89202,2.4512E-09,-1.46031E-09,2.06552E-10,2.86069E-09
4980,63.24501,-72.31245,3.02039E-09,-1.43653E-09,1.5171E-10,3.34804E-09
5040,57.01502,-69.48722,3.554E-09,-1.32683E-09,8.762E-11,3.79461E-09
5100,52.20939,-66.50424,4.02783E-09,-1.1605E-09,2.853E-11,4.19178E-09
5160,48.39214,-63.41612,4.43682E-09,-9.65953E-10,-2.3443E-11,4.54081E-09
5220,45.27512,-60.25522,4.77906E-09,-7.65408E-10,-7.7388E-11,4.84058E-09
5280,42.66613,-57.04217,5.04912E-09,-5.59103E-10,-1.39991E-10,5.08191E-09
5340,40.43433,-53.79061,5.24299E-09,-3.37744E-10,-2.11413E-10,5.25811E-09
5400,38.48846,-50.50986,5.33132E-09,-1.15559E-10,-2.77524E-10,5.33979E-09
5460,36.76335,-47.2065,5.30888E-09,8.4564E-11,-3.2421E-10,5.31945E-09
5520,35.21136,-43.88528,5.22247E-09,2.40582E-10,-3.41155E-10,5.23912E-09
5580,33.79693,-40.54976,5.1124E-09,3.50103E-10,-3.41692E-10,5.13575E-09
5640,32.49298,-37.20264,4.98783E-09,4.0584E-10,-3.55456E-10,5.01693E-09
5700,31.27848,-33.84601,4.85843E-09,3.84014E-10,-3.831E-10,4.88862E-09
5760,30.13683,-30.48154,4.75767E-09,2.70321E-10,-4.1476E-10,4.78336E-09
5820,29.05468,-27.1106,4.7153E-09,8.2015E-11,-4.47183E-10,4.73716E-09
5880,28.02112,-23.73431,4.73321E-09,-1.45242E-10,-4.6531E-10,4.75825E-09
5940,27.02706,-20.35361,4.81323E-09,-3.78453E-10,-4.60771E-10,4.85003E-09
6000,26.06482,-16.96934,4.97194E-09,-5.7737E-10,-4.47739E-10,5.02534E-09
6060,25.12774,-13.5822,5.2108E-09,-6.97366E-10,-4.20771E-10,5.27407E-09
6120,24.20996,-10.19284,5.50287E-09,-7.1329E-10,-3.57316E-10,5.5604E-09
6180,23.30621,-6.80187,5.80677E-09,-6.06101E-10,-2.24235E-10,5.84262E-09
6240,22.41159,-3.40984,6.06941E-09,-3.85996E-10,-5.4934E-11,6.08192E-09
6300,21.52149,-0.01728,6.21567E-09,-1.06284E-10,7.5634E-11,6.21703E-09
6360,20.63141,3.37529,6.20533E-09,1.08756E-10,1.24743E-10,6.20754E-09
6420,19.73685,6.76733,6.09181E-09,1.78126E-10,1.19788E-10,6.09559E-09
6480,18.8332,10.15833,6.00307E-09,1.04889E-10,9.2903E-11,6.00471E-09
6540,17.91558,13.54771,6.00734E-09,-2.4574E-11,6.1065E-11,6.0077E-09
6600,16.97871,16.9349,6.06402E-09,-9.7819E-11,4.6952E-11,6.06499E-09
6660,16.01673,20.31923,6.10831E-09,-7.694E-11,5.4933E-11,6.10904E-09
