Time, Long, Lat, Ar, Ai, Ac, AMAG
,,,,,,
0,47.73429,0.1293,4.94436E-09,-2.97677E-10,3.3215E-11,4.95342E-09
60,46.84419,3.52187,5.07142E-09,-3.3697E-10,5.9859E-11,5.08295E-09
120,45.94942,6.91389,5.20432E-09,-3.27536E-10,8.2739E-11,5.21527E-09
180,45.04536,10.30484,5.31202E-09,-2.54082E-10,9.1011E-11,5.31887E-09
240,44.1271,13.69416,5.37107E-09,-1.26935E-10,8.0629E-11,5.37318E-09
300,43.18936,17.08125,5.37513E-09,3.7295E-11,6.0484E-11,5.3756E-09
360,42.22624,20.46546,5.32403E-09,2.15967E-10,2.9393E-11,5.32849E-09
420,41.23107,23.84606,5.21729E-09,3.95621E-10,-3.525E-12,5.23227E-09
480,40.19612,27.22224,5.04996E-09,5.53729E-10,-3.6929E-11,5.08036E-09
540,39.11226,30.59303,4.82363E-09,6.63142E-10,-6.5617E-11,4.86944E-09
600,37.96849,33.95731,4.55339E-09,7.01995E-10,-9.021E-11,4.60806E-09
660,36.75138,37.31371,4.26447E-09,6.57869E-10,-1.08025E-10,4.31626E-09
720,35.4442,40.66055,4.00982E-09,5.29637E-10,-1.13156E-10,4.04623E-09
780,34.02576,43.99571,3.83679E-09,3.65672E-10,-1.06394E-10,3.85565E-09
840,32.46873,47.31646,3.73901E-09,2.37898E-10,-9.8531E-11,3.74786E-09
900,30.73722,50.61922,3.67014E-09,1.63802E-10,-9.2403E-11,3.67496E-09
960,28.78311,53.89919,3.61006E-09,1.20249E-10,-8.7832E-11,3.61313E-09
1020,26.54051,57.14972,3.5623E-09,9.6644E-11,-8.5097E-11,3.56462E-09
1080,23.91711,60.36137,3.52132E-09,9.3225E-11,-8.2555E-11,3.52352E-09
1140,20.78042,63.52033,3.4786E-09,1.0578E-10,-7.8525E-11,3.48109E-09
1200,16.93569,66.60565,3.43451E-09,1.28905E-10,-7.5744E-11,3.43777E-09
1260,12.09075,69.58448,3.38528E-09,1.49994E-10,-7.7037E-11,3.38947E-09
1320,5.8036,72.40331,3.32631E-09,1.61884E-10,-8.046E-11,3.33122E-09
1380,-2.57743,74.9727,3.25998E-09,1.6531E-10,-8.5511E-11,3.26528E-09
1440,-13.90162,77.14326,3.19474E-09,1.55131E-10,-9.2693E-11,3.19985E-09
1500,-28.8487,78.68436,3.13808E-09,1.23128E-10,-9.6598E-11,3.14198E-09
1560,-46.82851,79.32129,3.09931E-09,7.8779E-11,-1.02156E-10,3.102E-09
1620,-65.14973,78.89866,3.08146E-09,3.1215E-11,-1.05864E-10,3.08344E-09
1680,-80.82493,77.52487,3.08095E-09,-1.5343E-11,-1.08383E-10,3.0829E-09
1740,-92.847,75.46826,3.09332E-09,-5.5823E-11,-1.01766E-10,3.0955E-09
1800,-101.75078,72.97538,3.12039E-09,-9.315E-11,-9.5923E-11,3.12325E-09
1860,-108.40079,70.2112,3.16095E-09,-1.21119E-10,-8.9254E-11,3.16453E-09
1920,-113.49513,67.27516,3.21191E-09,-1.36917E-10,-8.0823E-11,3.21584E-09
1980,-117.51379,64.22651,3.26972E-09,-1.45327E-10,-7.2495E-11,3.27375E-09
2040,-120.77442,61.10138,3.33179E-09,-1.51496E-10,-6.6322E-11,3.33589E-09
2100,-123.48813,57.92259,3.39328E-09,-1.58713E-10,-6.3009E-11,3.39758E-09
2160,-125.79787,54.70502,3.45363E-09,-1.73021E-10,-6.3118E-11,3.45853E-09
2220,-127.80274,51.45877,3.5203E-09,-2.02147E-10,-6.835E-11,3.52676E-09
2280,-129.57313,48.19086,3.60329E-09,-2.4047E-10,-7.7663E-11,3.61214E-09
2340,-131.16022,44.90629,3.707E-09,-2.70311E-10,-8.4823E-11,3.71781E-09
2400,-132.602,41.60874,3.82379E-09,-2.74399E-10,-8.3558E-11,3.83454E-09
2460,-133.92731,38.30096,3.93745E-09,-2.46941E-10,-7.2137E-11,3.94585E-09
2520,-135.15837,34.98503,4.03181E-09,-1.94372E-10,-5.5803E-11,4.03688E-09
2580,-136.3127,31.66259,4.09402E-09,-1.30499E-10,-3.9928E-11,4.09629E-09
