Time, Long, Lat, X, Y, Z, Pmag, Vx, Vy, Vz, Vmag
0,-176.89611,0.1293,7348.62744,0,0,7348.62744,0,-1.36508202,7.25224089,7.37959666
60,-177.78621,3.52186,7335.329039,-81.85559313,434.87113,7348.664188,-0.44314332,-1.36261444,7.23907923,7.37952317
120,-178.68097,6.91388,7295.483,-163.415098,868.1642066,7348.774441,-0.88464896,-1.35521558,7.19965604,7.37931299
180,-179.58503,10.30483,7229.23651,-244.3833959,1298.307595,7348.958183,-1.3228878,-1.34291386,7.13412333,7.37896778
240,179.49671,13.69414,7136.83412,-324.4676391,1723.74179,7349.21535,-1.75624459,-1.32575651,7.04273324,7.37849015
300,178.55898,17.08122,7018.61671,-403.37837,2142.925389,7349.545826,-2.18312476,-1.30380927,6.92583675,7.37788365
360,177.59587,20.46542,6875.020049,-480.8306229,2554.340967,7349.949424,-2.60196102,-1.27715606,6.78388185,7.37715269
420,176.60071,23.84602,6706.572967,-556.545002,2956.500833,7350.42587,-3.01121969,-1.24589854,6.61741122,7.37630249
480,175.56577,27.22219,6513.895148,-630.2487314,3347.952631,7350.974784,-3.40940688,-1.21015562,6.42705952,7.37533904
540,174.48191,30.59298,6297.694571,-701.6766709,3727.284764,7351.595662,-3.79507433,-1.17006283,6.21355024,7.37426896
600,173.33816,33.95725,6058.764603,-770.5722959,4093.131627,7352.287855,-4.16682497,-1.12577168,5.97769218,7.37309949
660,172.12107,37.31364,5797.980767,-836.6886345,4444.178604,7353.050544,-4.52331811,-1.07744897,5.72037568,7.37183837
720,170.81391,40.66048,5516.297213,-899.7891604,4779.166842,7353.882728,-4.86327435,-1.02527597,5.44256838,7.3704938
780,169.39549,43.99563,5214.742904,-959.648638,5096.897758,7354.783193,-5.18548005,-0.96944762,5.14531091,7.36907433
840,167.83848,47.31638,4894.417542,-1016.053917,5396.237282,7355.750502,-5.4887915,-0.91017165,4.82971222,7.3675888
900,166.107,50.61915,4556.487261,-1068.804671,5676.119809,7356.782971,-5.7721387,-0.84766772,4.49694477,7.36604629
960,164.15293,53.89913,4202.180097,-1117.714091,5935.551862,7357.878653,-6.03452871,-0.78216643,4.14823953,7.36445601
1020,161.91038,57.14968,3832.781273,-1162.609505,6173.615451,7359.035323,-6.27504871,-0.71390844,3.78488087,7.36282723
1080,159.28703,60.36135,3449.628312,-1203.332959,6389.471119,7360.250464,-6.4928686,-0.64314341,3.40820134,7.36116923
1140,156.15041,63.52033,3054.106006,-1239.741726,6582.360677,7361.52125,-6.68724324,-0.57012911,3.01957637,7.35949121
1200,152.30576,66.60568,2647.641254,-1271.70876,6751.609612,7362.844541,-6.85751438,-0.49513033,2.62041896,7.35780219
1260,147.46092,69.58455,2231.697809,-1299.123091,6896.629188,7364.216868,-7.00311216,-0.41841797,2.21217431,7.35611098
1320,141.17386,72.40344,1807.77093,-1321.890161,7016.918211,7365.634428,-7.1235563,-0.34026797,1.79631452,7.35442605
1380,132.79287,74.97289,1377.381985,-1339.932094,7112.06449,7367.093081,-7.21845696,-0.26096038,1.37433328,7.35275548
1440,121.4686,77.14352,942.0730044,-1353.187917,7181.74597,7368.58835,-7.28751531,-0.18077835,0.94774068,7.35110689
1500,106.52115,78.68469,503.4012084,-1361.613712,7225.731565,7370.115422,-7.33052381,-0.10000716,0.51805798,7.34948739
1560,88.5406,79.32166,62.93353167,-1365.182723,7243.881673,7371.669159,-7.34736623,-0.01893329,0.08681257,7.34790347
1620,70.21857,78.899,-377.7588514,-1363.885389,7236.148393,7373.244107,-7.3380174,0.06215654,-0.34446705,7.34636103
1680,54.54284,77.52514,-817.1059789,-1357.72934,7202.575442,7374.834516,-7.30254281,0.14297632,-0.77425622,7.34486531
1740,42.52057,75.46843,-1253.54452,-1346.739322,7143.297784,7376.434362,-7.2410979,0.2232416,-1.20103897,7.34342088
1800,33.61678,72.97545,-1685.523151,-1330.957078,7058.540956,7378.037372,-7.15392725,0.30267044,-1.62331284,7.34203167
1860,26.96683,70.21116,-2111.507867,-1310.441171,6948.620122,7379.637059,-7.04136345,0.38098431,-2.03959357,7.34070093
1920,21.87256,67.27501,-2529.987231,-1285.266749,6813.938835,7381.226758,-6.90382588,0.4579089,-2.44841985,7.33943132
1980,17.85398,64.22625,-2939.477533,-1255.525273,6654.987527,7382.799663,-6.74181921,0.53317507,-2.84835788,7.33822489
2040,14.59342,61.10101,-3338.527862,-1221.324176,6472.341713,7384.348873,-6.55593167,0.60651964,-3.23800602,7.33708315
2100,11.87977,57.9221,-3725.72506,-1182.786479,6266.659932,7385.867436,-6.34683319,0.67768627,-3.61599923,7.33600713
2160,9.57009,54.70441,-4099.698561,-1140.05036,6038.681414,7387.348396,-6.11527316,0.74642628,-3.98101358,7.33499742
2220,7.56526,51.45803,-4459.125087,-1093.268667,5789.223484,7388.784843,-5.86207807,0.81249946,-4.33177058,7.3340542
2280,5.79491,48.18998,-4802.733197,-1042.608386,5519.178705,7390.169957,-5.58814886,0.87567487,-4.66704142,7.33317733
2340,4.20785,44.90527,-5129.30767,-988.2500605,5229.511776,7391.497059,-5.294458,0.93573164,-4.98565115,7.33236637
2400,2.76609,41.60758,-5437.693697,-930.3871696,4921.256174,7392.759657,-4.98204635,0.99245965,-5.2864827,7.33162065
2460,1.44081,38.29965,-5726.800891,-869.2254543,4595.510569,7393.951496,-4.65201977,1.04566035,-5.56848069,7.33093927
2520,0.20976,34.98357,-5995.607075,-804.9822074,4253.43501,7395.066594,-4.30554548,1.09514736,-5.83065513,7.3303212
2580,-0.94455,31.66097,-6243.161852,-737.8855208,3896.246895,7396.099297,-3.94384822,1.14074719,-6.07208497,7.32976527
2640,-2.03613,28.33311,-6468.589931,-668.1734946,3525.216735,7397.044312,-3.56820614,1.18229984,-6.29192132,7.32927021
2700,-3.07636,25.00101,-6671.094207,-596.0934095,3141.663733,7397.896747,-3.17994651,1.21965936,-6.48939058,7.32883476
2760,-4.07468,21.66551,-6849.958572,-521.900867,2746.951174,7398.652155,-2.78044123,1.25269444,-6.66379725,7.32845759
2820,-5.039,18.32728,-7004.550453,-445.8588972,2342.481668,7399.30656,-2.37110209,1.28128885,-6.81452656,7.32813745
2880,-5.97616,14.9869,-7134.323062,-368.2370394,1929.692229,7399.856497,-1.95337595,1.30534191,-6.94104673,7.32787314
2940,-6.89209,11.64486,-7238.817346,-289.3103981,1510.049237,7400.299033,-1.52873963,1.32476886,-7.04291108,7.3276636
3000,-7.79214,8.30158,-7317.663633,-209.3586764,1085.043275,7400.631798,-1.09869476,1.33950121,-7.11975972,7.32750791
3060,-8.68116,4.95744,-7370.582958,-128.6651921,656.1838801,7400.853002,-0.66476243,1.349487,-7.17132097,7.32740532
3120,-9.56371,1.61281,-7397.388072,-47.51587967,224.9942158,7400.961454,-0.22847775,1.35469102,-7.19741247,7.32735533
3180,-10.44418,-1.73199,-7397.984112,33.80171942,-206.9943115,7400.956568,0.20861565,1.35509491,-7.19794188,7.32735765
3240,-11.32689,-5.07661,-7372.368952,114.9994714,-638.2474673,7400.838376,0.64497124,1.3506973,-7.1729073,7.32741225
3300,-12.21622,-8.42073,-7320.633204,195.7896681,-1067.233616,7400.607522,1.0790451,1.34151374,-7.12239726,7.32751937
3360,-13.11675,-11.76399,-7242.959896,275.8860429,-1492.429138,7400.265259,1.50930159,1.32757671,-7.04659034,7.32767949
3420,-14.03335,-15.106,-7139.623812,355.0047803,-1912.323817,7399.81344,1.93421881,1.30893542,-6.94575453,7.32789331
3480,-14.97136,-18.44633,-7010.990494,432.8655157,-2325.426169,7399.254499,2.35229411,1.28565564,-6.8202461,7.32816177
3540,-15.93678,-21.78449,-6857.514939,509.1923217,-2730.268702,7398.591429,2.7620494,1.25781946,-6.67050822,7.32848597
3600,-16.93644,-25.11991,-6679.739956,583.7146759,-3125.413075,7397.827762,3.1620364,1.2255249,-6.4970692,7.32886715
3660,-17.97833,-28.4519,-6478.294233,656.1684078,-3509.455155,7396.96753,3.55084165,1.1888856,-6.30054047,7.32930663
3720,-19.07195,-31.77962,-6253.890097,726.2966217,-3881.029928,7396.01524,3.92709148,1.14803033,-6.08161425,7.32980579
3780,-20.22875,-35.10205,-6007.320984,793.8505909,-4238.81627,7394.975831,4.2894566,1.10310255,-5.8410609,7.330366
3840,-21.46284,-38.4179,-5739.458642,858.5906224,-4581.541558,7393.854638,4.63665668,1.05425983,-5.57972617,7.33098855
3900,-22.79187,-41.72555,-5451.250065,920.2868882,-4907.986094,7392.657352,4.9674646,1.00167332,-5.29852802,7.33167464
3960,-24.23829,-45.02287,-5143.714174,978.7202214,-5216.987345,7391.389973,5.28071048,0.94552714,-4.9984534,7.33242532
4020,-25.83119,-48.30709,-4817.938267,1033.682874,-5507.443978,7390.058769,5.57528559,0.8860177,-4.68055477,7.33324142
4080,-27.60897,-51.57451,-4475.074245,1084.979236,-5778.319682,7388.670232,5.85014593,0.82335306,-4.34594642,7.33412353
4140,-29.62337,-54.82004,-4116.334618,1132.426512,-6028.646763,7387.23103,6.10431561,0.75775221,-3.99580068,7.33507195
