x,y,z,A,difRef
-0.577350269,0.577350269,0.577350269,0.157079633,0.33333333
0,-0.934176402,-0.356811506,0.157079633,0.33333333
0.577350269,0.577350269,0.577350269,0.157079633,0.33333333
0.934176402,0.356811506,0,0.157079633,0.33333333
0.577350269,0.577350269,-0.577350269,0.157079633,0.33333333
0,-0.934176402,0.356811506,0.157079633,0.33333333
0.577350269,-0.577350269,0.577350269,0.157079633,0.33333333
-0.934176402,0.356811506,0,0.157079633,0.33333333
-0.577350269,-0.577350269,0.577350269,0.157079633,0.33333333
0,0.934176402,-0.356811506,0.157079633,0.33333333
-0.577350269,0.577350269,-0.577350269,0.157079633,0.33333333
0.934176402,-0.356811506,0,0.157079633,0.33333333
0.577350269,-0.577350269,-0.577350269,0.157079633,0.33333333
0,0.934176402,0.356811506,0.157079633,0.33333333
-0.577350269,-0.577350269,-0.577350269,0.157079633,0.33333333
-0.934176402,-0.356811506,0,0.157079633,0.33333333
0.356811506,0,0.934176402,0.157079633,0.33333333
-0.356811506,0,-0.934176402,0.157079633,0.33333333
0.356811506,0,-0.934176402,0.157079633,0.33333333
-0.356811506,0,0.934176402,0.157079633,0.33333333
