x,y,z,A,difRef
0.19494359,0.03877669,0.98004763,0.007382758,0.33333333
0.1652652,0.11042668,0.98004763,0.007382758,0.33333333
0.11042668,0.1652652,0.98004763,0.007382758,0.33333333
0.03877669,0.19494359,0.98004763,0.007382758,0.33333333
-0.0387767,0.19494359,0.98004763,0.007382758,0.33333333
-0.1104267,0.1652652,0.98004763,0.007382758,0.33333333
-0.1652652,0.11042668,0.98004763,0.007382758,0.33333333
-0.1949436,0.03877669,0.98004763,0.007382758,0.33333333
-0.1949436,-0.0387767,0.98004763,0.007382758,0.33333333
-0.1652652,-0.1104267,0.98004763,0.007382758,0.33333333
-0.1104267,-0.1652652,0.98004763,0.007382758,0.33333333
-0.0387767,-0.1949436,0.98004763,0.007382758,0.33333333
0.03877669,-0.1949436,0.98004763,0.007382758,0.33333333
0.11042668,-0.1652652,0.98004763,0.007382758,0.33333333
0.1652652,-0.1104267,0.98004763,0.007382758,0.33333333
0.19494359,-0.0387767,0.98004763,0.007382758,0.33333333
0.55220857,0.10984111,0.82643852,0.021136426,0.33333333
0.46813982,0.31280103,0.82643852,0.021136426,0.33333333
0.31280103,0.46813982,0.82643852,0.021136426,0.33333333
0.10984111,0.55220857,0.82643852,0.021136426,0.33333333
-0.1098411,0.55220857,0.82643852,0.021136426,0.33333333
-0.312801,0.46813982,0.82643852,0.021136426,0.33333333
-0.4681398,0.31280103,0.82643852,0.021136426,0.33333333
-0.5522086,0.10984111,0.82643852,0.021136426,0.33333333
-0.5522086,-0.1098411,0.82643852,0.021136426,0.33333333
-0.4681398,-0.312801,0.82643852,0.021136426,0.33333333
-0.312801,-0.4681398,0.82643852,0.021136426,0.33333333
-0.1098411,-0.5522086,0.82643852,0.021136426,0.33333333
0.10984111,-0.5522086,0.82643852,0.021136426,0.33333333
0.31280103,-0.4681398,0.82643852,0.021136426,0.33333333
0.46813982,-0.312801,0.82643852,0.021136426,0.33333333
0.55220857,-0.1098411,0.82643852,0.021136426,0.33333333
0.82032582,0.16317295,0.54812419,0.031868604,0.33333333
0.69543865,0.46467725,0.54812419,0.031868604,0.33333333
0.46467725,0.69543865,0.54812419,0.031868604,0.33333333
0.16317295,0.82032582,0.54812419,0.031868604,0.33333333
-0.163173,0.82032582,0.54812419,0.031868604,0.33333333
-0.4646773,0.69543865,0.54812419,0.031868604,0.33333333
-0.6954387,0.46467725,0.54812419,0.031868604,0.33333333
