x,y,z,A,difRef
-0.577350269,0.577350269,0.577350269,0.11241435,0.33333333
0,-0.934176402,-0.356811506,0.11241435,0.33333333
0.577350269,0.577350269,0.577350269,0.11241435,0.33333333
0.934176402,0.356811506,0,0.11241435,0.33333333
0.577350269,0.577350269,-0.577350269,0.11241435,0.33333333
0,0.934176402,-0.356811506,0.11241435,0.33333333
0.577350269,-0.577350269,0.577350269,0.11241435,0.33333333
-0.934176402,0.356811506,0,0.11241435,0.33333333
-0.577350269,-0.577350269,0.577350269,0.11241435,0.33333333
0,-0.934176402,0.356811506,0.11241435,0.33333333
-0.577350269,0.577350269,-0.577350269,0.11241435,0.33333333
0.934176402,-0.356811506,0,0.11241435,0.33333333
0.577350269,-0.577350269,-0.577350269,0.11241435,0.33333333
0,-0.934176402,-0.356811506,0.11241435,0.33333333
-0.577350269,-0.577350269,-0.577350269,0.11241435,0.33333333
-0.934176402,-0.356811506,0,0.11241435,0.33333333
-0.356811506,0,0.934176402,0.11241435,0.33333333
0.356811506,0,-0.934176402,0.11241435,0.33333333
-0.356811506,0,-0.934176402,0.11241435,0.33333333
0.356811506,0,0.934176402,0.11241435,0.33333333
0,1,1.618033989,0.074442138,0.33333333
0,-1,-1.618033989,0.074442138,0.33333333
0,1,-1.618033989,0.074442138,0.33333333
0,-1,1.618033989,0.074442138,0.33333333
1,1.618033989,0,0.074442138,0.33333333
-1,-1.618033989,0,0.074442138,0.33333333
1,-1.618033989,0,0.074442138,0.33333333
-1,1.618033989,0,0.074442138,0.33333333
1.618033989,0,1,0.074442138,0.33333333
-1.618033989,0,-1,0.074442138,0.33333333
-1.618033989,0,1,0.074442138,0.33333333
1.618033989,0,-1,0.074442138,0.33333333
