x,y,z,A
-0.577350269,0.577350269,0.577350269,0.11241435
0,-0.934176402,-0.356811506,0.11241435
0.577350269,0.577350269,0.577350269,0.11241435
0.934176402,0.356811506,0,0.11241435
0.577350269,0.577350269,-0.577350269,0.11241435
0,0.934176402,-0.356811506,0.11241435
0.577350269,-0.577350269,0.577350269,0.11241435
-0.934176402,0.356811506,0,0.11241435
-0.577350269,-0.577350269,0.577350269,0.11241435
0,-0.934176402,0.356811506,0.11241435
-0.577350269,0.577350269,-0.577350269,0.11241435
0.934176402,-0.356811506,0,0.11241435
0.577350269,-0.577350269,-0.577350269,0.11241435
0,-0.934176402,-0.356811506,0.11241435
-0.577350269,-0.577350269,-0.577350269,0.11241435
-0.934176402,-0.356811506,0,0.11241435
-0.356811506,0,0.934176402,0.11241435
0.356811506,0,-0.934176402,0.11241435
-0.356811506,0,-0.934176402,0.11241435
0.356811506,0,0.934176402,0.11241435
0,1,1.618033989,0.074442138
0,-1,-1.618033989,0.074442138
0,1,-1.618033989,0.074442138
0,-1,1.618033989,0.074442138
1,1.618033989,0,0.074442138
-1,-1.618033989,0,0.074442138
1,-1.618033989,0,0.074442138
-1,1.618033989,0,0.074442138
1.618033989,0,1,0.074442138
-1.618033989,0,-1,0.074442138
-1.618033989,0,1,0.074442138
1.618033989,0,-1,0.074442138
