
===========================
ERBE LW Anisotropic Factors
===========================

Rows correspond to different viewing zenith angle ranges (0-15, 15-27, etc.).
Columns correspond to different colatitude ranges from North Pole (0-18, 18-36, etc.).

Reference: Suttles, J. T., R. N. Green, G. L. Smith, B. A. Wielicki, I. J. Walker, V. R. Taylor, and L. L. Stowe, 1989: 
           Angular radiation models for Earth-atmosphere system. Volume 2: Longwave radiation, NASA-RP-1184-VOL-2, 88pp, 
           [online] Available: https://hdl.handle.net/2060/19890011216.
	   
	   
========================
SEASON 1 - DEC, JAN, FEB
========================
 Scene 1 - Clear Ocean
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.041      1.041      1.048      1.041      1.043      1.042      1.039      1.036      1.032      1.032
   15 - 27      1.037      1.037      1.038      1.039      1.042      1.042      1.038      1.035      1.032      1.032
   27 - 39      1.028      1.028      1.026      1.029      1.029      1.031      1.028      1.027      1.023      1.023
   39 - 51      1.010      1.010      1.012      1.010      1.011      1.013      1.013      1.010      1.010      1.010
   51 - 63      0.991      0.991      0.989      0.990      0.990      0.990      0.990      0.992      0.989      0.989
   63 - 75      0.947      0.947      0.945      0.945      0.943      0.942      0.945      0.949      0.961      0.961
   75 - 90      0.898      0.898      0.900      0.899      0.892      0.891      0.898      0.909      0.914      0.914
 Scene 2 - Clear Land
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.034      1.033      1.031      1.032      1.050      1.057      1.055      1.050      1.042      1.042
   15 - 27      1.029      1.030      1.029      1.031      1.048      1.048      1.046      1.044      1.039      1.039
   27 - 39      1.027      1.025      1.025      1.020      1.034      1.034      1.035      1.032      1.030      1.030
   39 - 51      1.007      1.006      1.006      1.011      1.013      1.019      1.013      1.012      1.011      1.011
   51 - 63      0.991      0.990      0.991      0.995      0.989      0.988      0.991      0.988      0.989      0.989
   63 - 75      0.957      0.958      0.959      0.956      0.935      0.929      0.932      0.939      0.946      0.946
   75 - 90      0.918      0.924      0.924      0.917      0.875      0.866      0.871      0.886      0.895      0.895
 Scene 3 - Clear Snow
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.029      1.023      1.026      1.026      1.026      1.035      1.035      1.035      1.035      1.023
   15 - 27      1.022      1.021      1.021      1.021      1.021      1.026      1.026      1.026      1.026      1.022
   27 - 39      1.018      1.014      1.016      1.016      1.016      1.018      1.018      1.018      1.018      1.019
   39 - 51      1.006      1.005      1.005      1.005      1.005      1.004      1.004      1.004      1.004      1.005
   51 - 63      0.994      0.995      0.995      0.995      0.995      0.992      0.992      0.992      0.992      0.991
   63 - 75      0.968      0.971      0.969      0.969      0.969      0.966      0.966      0.966      0.966      0.970
   75 - 90      0.935      0.945      0.940      0.940      0.940      0.933      0.933      0.933      0.933      0.942
 Scene 4 - Clear Desert
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.039      1.039      1.039      1.039      1.050      1.058      1.058      1.048      1.048      1.048
   15 - 27      1.035      1.035      1.035      1.035      1.045      1.057      1.055      1.046      1.046      1.046
   27 - 39      1.026      1.026      1.026      1.026      1.035      1.036      1.037      1.034      1.034      1.034
   39 - 51      1.009      1.009      1.009      1.009      1.013      1.013      1.013      1.014      1.014      1.014
   51 - 63      0.992      0.992      0.992      0.992      0.981      0.987      0.986      0.988      0.988      0.988
   63 - 75      0.949      0.949      0.949      0.949      0.940      0.930      0.929      0.934      0.934      0.934
   75 - 90      0.907      0.907      0.907      0.907      0.886      0.861      0.866      0.880      0.880      0.880
 Scene 5 - Clear Land-Ocean Mix (Coastal)
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.038      1.037      1.040      1.036      1.047      1.049      1.047      1.044      1.038      1.038
   15 - 27      1.033      1.033      1.033      1.035      1.045      1.045      1.042      1.040      1.036      1.036
   27 - 39      1.028      1.027      1.026      1.024      1.032      1.032      1.032      1.030      1.027      1.027
   39 - 51      1.008      1.008      1.009      1.011      1.012      1.016      1.013      1.011      1.011      1.011
   51 - 63      0.991      0.991      0.990      0.992      0.989      0.989      0.990      0.990      0.989      0.989
   63 - 75      0.952      0.953      0.952      0.950      0.939      0.935      0.938      0.944      0.953      0.953
   75 - 90      0.908      0.912      0.912      0.908      0.883      0.878      0.884      0.896      0.904      0.904
 Scene 6 - Partly Cloudy Over Ocean
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.040      1.048      1.046      1.045      1.045      1.049      1.043      1.042      1.033      1.034
   15 - 27      1.040      1.042      1.038      1.040      1.042      1.043      1.041      1.038      1.031      1.032
   27 - 39      1.028      1.030      1.029      1.027      1.030      1.032      1.030      1.026      1.023      1.022
   39 - 51      1.014      1.013      1.012      1.011      1.012      1.012      1.011      1.009      1.008      1.008
   51 - 63      0.991      0.989      0.991      0.990      0.991      0.989      0.989      0.990      0.992      0.991
   63 - 75      0.940      0.939      0.943      0.944      0.940      0.939      0.943      0.948      0.957      0.958
   75 - 90      0.896      0.887      0.893      0.899      0.886      0.884      0.894      0.903      0.916      0.922
 Scene 7 - Partly Cloudy Over Land or Desert
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.035      1.043      1.045      1.041      1.052      1.058      1.058      1.049      1.040      1.035
   15 - 27      1.030      1.040      1.044      1.038      1.050      1.051      1.054      1.045      1.038      1.034
   27 - 39      1.021      1.026      1.028      1.027      1.036      1.038      1.040      1.032      1.026      1.028
   39 - 51      1.010      1.013      1.009      1.009      1.016      1.016      1.013      1.012      1.009      1.006
   51 - 63      0.994      0.992      0.986      0.992      0.989      0.985      0.986      0.989      0.990      0.989
   63 - 75      0.956      0.942      0.948      0.947      0.931      0.927      0.927      0.938      0.949      0.959
   75 - 90      0.916      0.895      0.897      0.902      0.862      0.867      0.860      0.882      0.903      0.909
 Scene 8 - Partly Cloudy Over Land-Ocean Mix
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.038      1.046      1.045      1.043      1.049      1.053      1.051      1.046      1.037      1.034
   15 - 27      1.035      1.041      1.041      1.039      1.046      1.047      1.048      1.042      1.035      1.033
   27 - 39      1.025      1.028      1.029      1.027      1.033      1.035      1.035      1.029      1.025      1.025
   39 - 51      1.012      1.013      1.011      1.010      1.014      1.014      1.012      1.011      1.009      1.007
   51 - 63      0.992      0.990      0.989      0.991      0.990      0.987      0.988      0.989      0.991      0.990
   63 - 75      0.948      0.941      0.946      0.946      0.936      0.933      0.935      0.942      0.952      0.958
   75 - 90      0.905      0.891      0.895      0.901      0.874      0.875      0.877      0.892      0.909      0.915
 Scene 9 - Mostly Cloudy Over Ocean
               0 - 18     18 - 36    36 - 54    54 - 72    72 - 90   90 - 108   108 - 126  126 - 144  144 - 162  162 - 180
    0 - 15      1.052      1.051      1.045      1.045      1.049      1.052      1.046      1.037      1.032      1.030
