
===========================
ERBE SW Anisotropic Factors
===========================

Rows correspond to different viewing zenith angle ranges (0-15, 15-27, etc.).
Columns correspond to different relative azimuth angle ranges (0-9, 9-30, etc.).

Reference: Suttles, J. T., R. N. Green, P. Minnis, G. L. Smith, W. F. Staylor, B. A. Wielicki, I. J. Walker, 
           D. F. Young, V. R. Taylor, and L. L. Stowe, 1988: Angular radiation models for Earth-atmosphere 
           system. Volume 1: Shortwave radiation, NASA-RP-1184, 148pp, [online] Available: 
           https://hdl.handle.net/2060/19880018293.
	   
	   
=====================  
Scene 1 - Clear Ocean
=====================    
 solar zenith angle range =  0.00 - 25.84
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          1.081       1.081       1.081       1.081       1.081       1.081       1.081       1.081
   15 - 27          2.151       1.772       1.254       0.996       0.893       0.871       0.868       0.874
   27 - 39          1.746       1.356       0.974       0.856       0.831       0.845       0.853       0.860
   39 - 51          1.029       0.941       0.824       0.787       0.816       0.860       0.889       0.916
   51 - 63          0.959       0.897       0.860       0.831       0.856       0.918       0.959       1.003
   63 - 75          1.118       1.099       1.058       1.018       1.055       1.070       1.132       1.198
   75 - 90          1.416       1.397       1.335       1.235       1.268       1.298       1.360       1.397
 solar zenith angle range = 25.84 - 36.87
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.812       0.812       0.812       0.812       0.812       0.812       0.812       0.812
   15 - 27          1.464       1.331       0.969       0.777       0.761       0.777       0.788       0.815
   27 - 39          2.231       1.606       0.901       0.729       0.750       0.829       0.863       0.894
   39 - 51          1.716       1.299       0.839       0.720       0.777       0.894       0.962       0.983
   51 - 63          1.365       1.132       0.887       0.770       0.866       0.990       1.088       1.116
   63 - 75          1.480       1.306       1.119       1.010       0.928       1.136       1.320       1.358
   75 - 90          1.808       1.686       1.471       1.218       1.122       1.416       1.525       1.590
 solar zenith angle range = 36.87 - 45.57
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.665       0.665       0.665       0.665       0.665       0.665       0.665       0.665
   15 - 27          0.925       0.904       0.733       0.634       0.681       0.718       0.749       0.749
   27 - 39          1.813       1.368       0.759       0.640       0.696       0.793       0.857       0.850
   39 - 51          2.840       1.563       0.797       0.678       0.728       0.884       0.972       1.016
   51 - 63          2.491       1.443       0.878       0.756       0.828       1.000       1.129       1.154
   63 - 75          2.142       1.568       1.179       0.906       0.944       1.211       1.399       1.446
   75 - 90          2.447       2.005       1.540       1.327       1.188       1.537       1.729       1.753
 solar zenith angle range = 45.57 - 53.13
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.584       0.584       0.584       0.584       0.584       0.584       0.584       0.584
   15 - 27          0.679       0.707       0.599       0.569       0.609       0.687       0.719       0.698
   27 - 39          1.223       0.991       0.642       0.575       0.630       0.759       0.816       0.822
   39 - 51          2.981       1.569       0.747       0.642       0.682       0.847       0.957       1.003
   51 - 63          3.984       1.707       0.859       0.701       0.770       0.988       1.148       1.194
   63 - 75          3.660       1.982       1.203       0.884       0.939       1.254       1.484       1.532
   75 - 90          3.755       2.386       1.621       1.254       1.283       1.630       1.815       1.850
 solar zenith angle range = 53.13 - 60.00
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.505       0.505       0.505       0.505       0.505       0.505       0.505       0.505
   15 - 27          0.568       0.539       0.531       0.505       0.529       0.615       0.631       0.631
   27 - 39          0.883       0.814       0.549       0.514       0.561       0.670       0.739       0.764
   39 - 51          2.611       1.410       0.712       0.599       0.608       0.799       0.913       0.922
   51 - 63          5.077       1.910       0.871       0.660       0.715       0.962       1.091       1.163
   63 - 75          6.451       2.207       1.351       0.875       0.846       1.254       1.479       1.527
   75 - 90          7.119       3.054       1.789       1.307       1.266       1.635       1.831       1.902
 solar zenith angle range = 60.00 - 66.42
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.457       0.457       0.457       0.457       0.457       0.457       0.457       0.457
   15 - 27          0.523       0.525       0.488       0.464       0.480       0.544       0.591       0.624
   27 - 39          0.786       0.706       0.553       0.471       0.516       0.620       0.672       0.721
   39 - 51          2.180       1.264       0.663       0.546       0.583       0.754       0.834       0.881
   51 - 63          5.357       1.808       0.877       0.668       0.721       0.888       1.087       1.164
   63 - 75          9.649       2.581       1.344       0.758       0.849       1.196       1.465       1.601
   75 - 90         10.558       3.412       1.767       1.262       1.133       1.547       1.897       1.990
 solar zenith angle range = 66.42 - 72.54
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.468       0.468       0.468       0.468       0.468       0.468       0.468       0.468
   15 - 27          0.441       0.500       0.420       0.446       0.469       0.468       0.509       0.507
   27 - 39          0.833       0.666       0.513       0.445       0.504       0.581       0.628       0.651
   39 - 51          1.585       1.137       0.682       0.500       0.531       0.723       0.851       0.811
   51 - 63          4.470       2.192       0.899       0.638       0.653       0.935       1.088       1.066
   63 - 75         10.199       2.477       1.641       0.715       0.974       1.122       1.506       1.583
   75 - 90         11.414       3.264       2.452       1.494       1.365       1.620       2.118       2.094
 solar zenith angle range = 72.54 - 78.46
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.440       0.440       0.440       0.440       0.440       0.440       0.440       0.440
   15 - 27          0.550       0.530       0.495       0.456       0.459       0.490       0.523       0.545
   27 - 39          0.774       0.679       0.573       0.490       0.454       0.568       0.638       0.659
   39 - 51          1.524       1.005       0.700       0.551       0.550       0.712       0.814       0.834
   51 - 63          4.389       1.637       0.965       0.664       0.644       0.886       1.022       1.062
   63 - 75          9.122       2.423       1.696       0.913       0.976       1.151       1.518       1.547
   75 - 90         12.122       3.187       2.960       1.672       1.542       1.686       2.294       2.187
 solar zenith angle range = 78.46 - 84.26
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.423       0.423       0.423       0.423       0.423       0.423       0.423       0.423
   15 - 27          0.535       0.519       0.484       0.438       0.439       0.471       0.498       0.514
   27 - 39          0.740       0.668       0.568       0.475       0.437       0.552       0.603       0.625
   39 - 51          1.387       0.971       0.696       0.565       0.545       0.699       0.785       0.799
   51 - 63          4.047       1.652       0.959       0.693       0.668       0.874       0.991       1.030
   63 - 75          8.462       2.403       1.762       1.061       0.990       1.180       1.541       1.535
   75 - 90         12.764       3.157       3.371       1.821       1.690       1.751       2.447       2.276
 solar zenith angle range = 84.26 - 90.00
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.410       0.410       0.410       0.410       0.410       0.410       0.410       0.410
   15 - 27          0.524       0.512       0.477       0.424       0.425       0.458       0.480       0.492
   27 - 39          0.715       0.660       0.565       0.465       0.424       0.541       0.577       0.599
   39 - 51          1.283       0.948       0.695       0.579       0.542       0.691       0.765       0.774
   51 - 63          3.787       1.669       0.957       0.718       0.689       0.868       0.969       1.008
   63 - 75          7.963       2.395       1.819       1.181       1.005       1.207       1.565       1.530
   75 - 90         12.392       3.141       3.608       2.077       1.756       1.851       2.558       2.331

====================    
Scene 2 - Clear Land
====================    
 solar zenith angle range =  0.00 - 25.84
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          1.084       1.084       1.084       1.084       1.084       1.084       1.084       1.084
   15 - 27          0.984       0.956       0.987       1.013       1.043       1.091       1.134       1.170
   27 - 39          0.909       0.909       0.935       0.984       1.017       1.065       1.105       1.101
   39 - 51          0.872       0.887       0.911       0.935       1.013       1.042       1.068       1.080
   51 - 63          0.911       0.885       0.895       0.952       1.000       1.051       1.048       1.084
   63 - 75          0.951       0.930       0.932       0.951       0.997       1.032       1.035       1.067
   75 - 90          1.043       0.997       0.979       0.972       0.989       1.039       1.058       1.086
 solar zenith angle range = 25.84 - 36.87
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.943       0.943       0.943       0.943       0.943       0.943       0.943       0.943
   15 - 27          0.872       0.834       0.893       0.919       0.987       1.045       1.108       1.158
   27 - 39          0.882       0.830       0.854       0.905       0.952       1.089       1.199       1.258
   39 - 51          0.834       0.843       0.860       0.909       0.973       1.111       1.195       1.239
   51 - 63          0.889       0.870       0.893       0.893       1.005       1.117       1.206       1.235
   63 - 75          1.027       1.000       0.984       0.952       1.018       1.117       1.233       1.260
   75 - 90          1.195       1.162       1.095       1.018       1.057       1.173       1.241       1.310
 solar zenith angle range = 36.87 - 45.57
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.886       0.886       0.886       0.886       0.886       0.886       0.886       0.886
   15 - 27          0.819       0.768       0.824       0.883       0.941       0.979       1.032       1.055
   27 - 39          0.750       0.781       0.814       0.896       0.946       1.082       1.184       1.212
   39 - 51          0.847       0.811       0.836       0.890       0.944       1.121       1.268       1.362
   51 - 63          0.905       0.869       0.881       0.888       0.998       1.185       1.312       1.354
   63 - 75          1.073       1.024       0.987       0.951       1.042       1.233       1.355       1.407
   75 - 90          1.273       1.192       1.152       1.001       1.100       1.316       1.420       1.437
 solar zenith angle range = 45.57 - 53.13
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.829       0.829       0.829       0.829       0.829       0.829       0.829       0.829
   15 - 27          0.746       0.731       0.759       0.808       0.883       0.950       0.994       1.014
   27 - 39          0.723       0.748       0.761       0.793       0.911       1.034       1.145       1.129
   39 - 51          0.879       0.806       0.787       0.836       0.900       1.137       1.306       1.405
   51 - 63          1.023       0.866       0.872       0.846       0.985       1.219       1.412       1.547
   63 - 75          1.162       1.127       1.049       0.954       1.032       1.355       1.488       1.596
   75 - 90          1.461       1.368       1.232       1.140       1.225       1.511       1.616       1.646
 solar zenith angle range = 53.13 - 60.00
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
