CMDLINE /media/monte_share/conda_envs/dataproc/bin/python3.14 main_EEI_preproc.py
MEM 0.542969 1776195166.6652
MEM 29.378906 1776195166.7655
MEM 45.867188 1776195166.8657
MEM 57.375000 1776195166.9659
MEM 64.648438 1776195167.0662
MEM 67.003906 1776195167.1664
MEM 69.078125 1776195167.2666
MEM 82.335938 1776195167.3669
MEM 84.199219 1776195167.4670
MEM 124.605469 1776195167.5673
MEM 134.589844 1776195167.6675
MEM 140.117188 1776195167.7678
MEM 143.875000 1776195167.8680
MEM 150.406250 1776195167.9682
MEM 155.746094 1776195168.0684
MEM 158.839844 1776195168.1686
MEM 161.847656 1776195168.2688
MEM 162.632812 1776195168.3690
MEM 164.566406 1776195168.4692
MEM 165.648438 1776195168.5693
MEM 166.726562 1776195168.6695
MEM 171.089844 1776195168.7698
MEM 176.628906 1776195168.8700
MEM 179.656250 1776195168.9701
MEM 181.578125 1776195169.0703
MEM 182.808594 1776195169.1705
MEM 185.023438 1776195169.2706
MEM 187.382812 1776195169.3708
MEM 192.578125 1776195169.4709
MEM 196.281250 1776195169.5711
MEM 200.789062 1776195169.6713
MEM 204.410156 1776195169.7715
MEM 207.367188 1776195169.8717
MEM 209.386719 1776195169.9718
MEM 211.535156 1776195170.0720
MEM 213.789062 1776195170.1722
MEM 216.441406 1776195170.2723
MEM 217.906250 1776195170.3725
MEM 220.164062 1776195170.4727
MEM 223.675781 1776195170.5728
MEM 228.250000 1776195170.6730
MEM 235.386719 1776195170.7731
MEM 239.492188 1776195170.8734
MEM 243.535156 1776195170.9735
MEM 246.894531 1776195171.0737
MEM 254.328125 1776195171.1739
MEM 260.429688 1776195171.2741
MEM 262.363281 1776195171.3743
MEM 264.769531 1776195171.4745
MEM 276.535156 1776195171.5748
MEM 991.371094 1776195171.6753
MEM 1039.460938 1776195171.7757
MEM 1417.460938 1776195171.8758
MEM 1797.460938 1776195171.9763
MEM 2187.460938 1776195172.0767
MEM 2577.460938 1776195172.1771
MEM 2967.460938 1776195172.2777
MEM 3372.375000 1776195172.3782
MEM 3581.007812 1776195172.4787
MEM 3581.007812 1776195172.5791
MEM 3580.960938 1776195172.6796
MEM 4340.960938 1776195172.7800
MEM 5084.960938 1776195172.8804
MEM 3157.226562 1776195172.9807
MEM 3157.226562 1776195173.0809
MEM 3157.226562 1776195173.1810
MEM 3157.226562 1776195173.2812
MEM 3248.890625 1776195173.3822
MEM 4567.683594 1776195173.4829
MEM 6157.683594 1776195173.5834
MEM 7529.683594 1776195173.6839
MEM 8915.683594 1776195173.7844
MEM 10289.683594 1776195173.8849
MEM 11645.683594 1776195173.9855
MEM 13183.191406 1776195174.0861
MEM 14774.402344 1776195174.1866
MEM 14774.402344 1776195174.2871
MEM 14774.402344 1776195174.3876
MEM 14774.402344 1776195174.4881
MEM 15043.949219 1776195174.5886
MEM 15761.949219 1776195174.6891
MEM 16497.949219 1776195174.7896
MEM 17227.949219 1776195174.8900
MEM 15549.570312 1776195174.9906
MEM 17537.570312 1776195175.0912
MEM 17646.781250 1776195175.1918
MEM 17646.781250 1776195175.2923
MEM 17646.781250 1776195175.3928
MEM 17646.781250 1776195175.4933
MEM 17646.843750 1776195175.5939
MEM 17646.847656 1776195175.6943
MEM 17646.847656 1776195175.7948
MEM 17647.113281 1776195175.8950
MEM 18367.476562 1776195175.9954
MEM 19503.476562 1776195176.0959
MEM 20519.925781 1776195176.1964
MEM 21490.902344 1776195176.2969
MEM 22624.902344 1776195176.3974
MEM 23392.304688 1776195176.4978
MEM 24363.632812 1776195176.5984
MEM 25487.632812 1776195176.6990
MEM 26603.632812 1776195176.7994
MEM 27721.632812 1776195176.8999
MEM 28811.632812 1776195177.0004
MEM 29911.632812 1776195177.1008
MEM 31001.632812 1776195177.2013
MEM 32011.644531 1776195177.3016
MEM 32011.648438 1776195177.4018
MEM 32011.648438 1776195177.5020
MEM 32011.648438 1776195177.6022
MEM 32011.648438 1776195177.7024
MEM 32011.648438 1776195177.8026
MEM 32011.648438 1776195177.9028
MEM 32011.648438 1776195178.0031
MEM 32011.648438 1776195178.1032
